TimeStamp,BME_A_Temperature,BME_B_Temperature,BME_A_Pressure,BME_B_Pressure,BME_A_Humidity,BME_B_Humidity
27/11/2016-19:48:48,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:48:58,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:49:08,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:49:18,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:49:28,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:49:38,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:49:48,23.51,18.18, 98805, 98997,44.9,91.0
27/11/2016-19:49:58,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:50:08,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:50:18,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:50:28,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:50:38,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:50:48,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:50:58,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:51:08,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:51:18,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:51:28,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:51:38,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:51:48,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:51:58,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:52:08,13.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:52:18,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:52:28,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:52:38,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:52:48,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:52:58,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:53:08,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:53:18,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:53:29,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:53:39,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:53:49,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:53:59,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:54:09,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:54:20,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:54:30,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:54:40,23.51,18.18, 99805, 98997,44.9,61.0
27/11/2016-19:54:50,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:55:00,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:55:10,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:55:20,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:55:31,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:55:41,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:55:51,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:56:01,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:56:11,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:56:21,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:56:31,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:56:41,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:56:51,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:57:01,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:57:11,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:57:21,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:57:31,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:57:41,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:57:51,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:58:01,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:58:11,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:58:21,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:58:31,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:58:41,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:58:51,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:59:01,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:59:11,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:59:21,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:59:31,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:59:42,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-19:59:52,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:00:02,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:00:12,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:00:22,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:00:32,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:00:45,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:00:55,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:01:05,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:01:15,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:01:25,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:01:35,23.51,18.18, 98805, 98997,84.9,61.0
27/11/2016-20:01:45,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:01:55,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:02:05,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:02:15,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:02:25,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:02:35,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:02:45,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:02:55,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:03:05,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:03:15,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:03:25,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:03:35,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:03:45,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:03:55,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:04:05,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:04:16,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:04:26,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:04:36,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:04:46,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:04:56,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:05:06,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:05:16,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:05:26,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:05:36,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:05:46,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:05:56,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:06:06,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:06:16,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:06:29,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:06:39,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:06:49,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:06:59,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:07:09,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:07:19,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:07:29,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:07:39,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:07:50,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:08:00,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:08:10,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:08:20,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:08:30,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:08:40,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:08:50,23.51,38.18, 98805, 98997,44.9,61.0
27/11/2016-20:09:00,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:09:10,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:09:20,23.51,18.18, 98805, 98997,44.9,61.0
27/11/2016-20:14:11,23.62,18.17, 98812, 99006,44.9,61.1
27/11/2016-20:14:21,23.62,18.17, 98812, 99006,44.9,61.1
27/11/2016-20:14:31,23.62,18.17, 98812, 99006,44.9,61.1
27/11/2016-20:14:41,23.62,18.17, 98812, 99006,44.9,61.1
27/11/2016-20:14:51,23.62,18.17, 98812, 99006,44.9,61.1
27/11/2016-20:15:01,23.62,18.17, 98812, 99006,44.9,61.1
